run,step,score
1426,484,50.0
1427,710,55.0
1428,972,220.0
1429,685,150.0
1430,407,75.0
1431,886,215.0
1432,870,140.0
1433,994,260.0
1434,1241,355.0
1435,828,285.0
1436,561,60.0
1437,808,180.0
1438,325,30.0
1439,502,90.0
1440,610,90.0
1441,1537,745.0
1442,559,120.0
1443,615,165.0
1444,898,290.0
1445,353,75.0
1446,659,165.0
1447,645,110.0
1448,592,105.0
1449,802,195.0
1450,652,130.0
1451,1162,270.0
1452,816,445.0
1453,785,215.0
1454,461,115.0
1455,646,150.0
1456,1360,465.0
1457,723,105.0
1458,1468,755.0
1459,590,125.0
1460,812,175.0
1461,640,145.0
1462,955,175.0
1463,479,110.0
1464,818,185.0
1465,777,220.0
1466,480,65.0
1467,1338,265.0
1468,642,190.0
1469,963,225.0
1470,955,395.0
1471,650,105.0
1472,553,180.0
1473,634,135.0
1474,397,80.0
1475,676,130.0
1476,1088,110.0
1477,411,120.0
1478,788,155.0
1479,902,470.0
1480,638,140.0
1481,473,65.0
1482,547,115.0
1483,624,120.0
1484,705,195.0
1485,350,55.0
1486,796,105.0
1487,850,170.0
1488,618,85.0
1489,973,325.0
1490,822,215.0
1491,903,265.0
1492,820,215.0
1493,668,175.0
1494,1310,445.0
1495,858,260.0
1496,1087,225.0
1497,916,265.0
1498,919,190.0
1499,545,110.0
1500,636,75.0
1501,477,55.0
1502,509,65.0
1503,637,145.0
1504,497,110.0
1505,701,220.0
1506,668,105.0
1507,1268,365.0
1508,985,180.0
1509,810,250.0
1510,850,215.0
1511,1570,600.0
1512,666,335.0
1513,1185,420.0
1514,345,75.0
1515,1077,530.0
1516,1047,290.0
1517,821,215.0
1518,649,110.0
1519,417,30.0
1520,518,185.0
1521,881,305.0
1522,679,100.0
1523,393,90.0
1524,1138,345.0
1525,532,160.0
1526,930,330.0
1527,557,80.0
1528,885,270.0
1529,348,90.0
1530,789,155.0
1531,518,110.0
1532,762,225.0
1533,467,100.0
1534,451,110.0
1535,660,175.0
1536,361,120.0
1537,400,65.0
1538,461,110.0
1539,369,70.0
1540,620,105.0
1541,658,115.0
1542,642,140.0
1543,637,180.0
1544,655,125.0
1545,817,260.0
1546,874,200.0
1547,825,210.0
1548,676,110.0
1549,412,80.0
1550,901,125.0
1551,1182,240.0
1552,496,45.0
1553,865,270.0
1554,792,370.0
1555,440,35.0
1556,789,185.0
1557,1258,610.0
1558,610,155.0
1559,355,110.0
1560,1031,300.0
